,repo,file path,code,variables,called paragraphs,LOC,summary,Linked Programs,Called Programs,File Calls,granite generated summary,function name,refined summary2,reference coverage,hallucination detection
104,walmartlabs_zECS,X-COBOL/X-COBOL/COBOL_Files/walmartlabs_zECS/ZECS000.cbl,"       7200-WEB-CONVERSE.
           MOVE FIVE-TWELVE      TO WEB-PATH-LENGTH.
           MOVE ZEROES           TO NUMBER-OF-NULLS.
           MOVE ZEROES           TO NUMBER-OF-SPACES.
           MOVE FORTY            TO CONVERSE-LENGTH.
           MOVE FIFTEEN          TO WEB-STATUS-LENGTH.
           MOVE ZC-TRANID        TO URI-MAP.
           MOVE 'D'              TO URI-MAP(5:1).

           EXEC CICS INQUIRE URIMAP(URI-MAP)
                PATH(URI-PATH)
                NOHANDLE
           END-EXEC.

           STRING URI-PATH
                  SLASH
                  ZF-ZK-KEY
                  DELIMITED BY '*'
                  INTO WEB-PATH.

           INSPECT WEB-PATH TALLYING NUMBER-OF-NULLS
                   FOR ALL LOW-VALUES.
           SUBTRACT NUMBER-OF-NULLS  FROM WEB-PATH-LENGTH.

           INSPECT WEB-PATH TALLYING NUMBER-OF-SPACES
                   FOR ALL SPACES.
           SUBTRACT NUMBER-OF-SPACES FROM WEB-PATH-LENGTH.

           MOVE DEPLICATE TO WEB-PATH(1:10).

           EXEC CICS WEB CONVERSE
                SESSTOKEN(SESSION-TOKEN)
                PATH(WEB-PATH)
                PATHLENGTH(WEB-PATH-LENGTH)
                METHOD(WEB-METHOD)
                MEDIATYPE(ZF-MEDIA)
                INTO(CONVERSE-RESPONSE)
                TOLENGTH(CONVERSE-LENGTH)
                MAXLENGTH(CONVERSE-LENGTH)
                STATUSCODE(WEB-STATUS-CODE)
                STATUSLEN (WEB-STATUS-LENGTH)
                STATUSTEXT(WEB-STATUS-ABSTIME)
                NOOUTCONVERT
                NOHANDLE
           END-EXEC.","       01  TWELVE                 PIC S9(02) VALUE     12 COMP-3.

       01  FIVE-TWELVE            PIC S9(08) VALUE    512 COMP.

       01  FORTY                  PIC S9(08) VALUE     40 COMP.

       01  FIFTEEN                PIC S9(08) VALUE     15 COMP.

       01  SLASH                  PIC  X(01) VALUE '/'.

       01  ZC-PARM.

           02  ZC-TRANID          PIC  X(04) VALUE SPACES.

       01  ZK-RECORD.

           02  ZK-KEY             PIC X(255) VALUE LOW-VALUES.

       01  URI-MAP                PIC  X(08) VALUE SPACES.

       01  URI-PATH               PIC X(255) VALUE SPACES.

       01  DEPLICATE              PIC  X(10) VALUE '/deplicate'.

       01  NUMBER-OF-SPACES       PIC S9(08) COMP VALUE ZEROES.

       01  NUMBER-OF-NULLS        PIC S9(08) COMP VALUE ZEROES.

       01  WEB-METHOD             PIC S9(08) COMP VALUE ZEROES.

       01  WEB-PATH-LENGTH        PIC S9(08) COMP VALUE 256.

       01  SESSION-TOKEN          PIC  9(18) COMP VALUE ZEROES.

       01  WEB-STATUS-CODE        PIC S9(04) COMP VALUE 00.

       01  WEB-STATUS-LENGTH      PIC S9(08) COMP VALUE 15.

       01  WEB-STATUS-ABSTIME     PIC  9(15) VALUE ZEROES.

       01  WEB-PATH               PIC X(512) VALUE SPACES.

       01  CONVERSE-LENGTH        PIC S9(08) COMP VALUE 40.

       01  CONVERSE-RESPONSE      PIC  X(40) VALUE SPACES.

       01  ZF-RECORD.

           02  ZF-ZK-KEY          PIC  X(255).

           02  ZF-MEDIA           PIC  X(56).
",[],44,"Converse with the partner Data Center zECS. The first element of the path, which for normal processing is /resources, must be changed to /deplicate.",,,,No,7200-WEB-CONVERSE,"The COBOL code is used to perform a CICS (Customer Information Control System) Web Converse operation. It moves various data items to and from the program, including values for PATHLENGTH, MAXLENGTH, and STATUSLEN. The code then executes the CICS INQUIRE URIMAP and CICS WEB CONVERSE statements. Finally, it uses the INSPECT and STRING functions to manipulate the data items.",0.5,1
25,debinix_openjensen,X-COBOL/X-COBOL/COBOL_Files/debinix_openjensen/wui-end-html.cbl,"       000-end-html.
        
           DISPLAY
               ""</body>""
               ""</html>""          
           END-DISPLAY        
        
           EXIT PROGRAM",,[],7,dispaly html end-tags for browser output,,,,"### Response:
This code is used to close the HTML body and html tags. It displays the closing body and html tags using the display statement and then exits the program with the exit program statement.",000-end-html,The COBOL code displays the closing body and html tags and then exits the program.,1,1
40,shamrice_COBOL-Roguelike,X-COBOL/X-COBOL/COBOL_Files/shamrice_COBOL-Roguelike/display_help.cbl,"       main-procedure.

           display space blank screen 

           display ""Keyboard Commands:"" at 0107 underline highlight           
           display 
               "" arrows - move cursor"" at 0201
               ""      b - toggle blocking tiles"" at 0301
               ""      c - set tile character"" at 0401
               ""      d - set enemy attributes"" at 0501
               ""    f/g - set fore/background tile color"" at 0601
               ""      h - toggle fg tile highlight"" at 0701
               ""      k - toggle blinking tiles"" at 0801
               ""  esc/q - quit editor"" at 0901
               ""  space - place tile or enemy"" at 1001
               ""    tab - toggle tile/enemy placement mode"" at 1101
               ""     F1 - display this help screen."" at 1201
               ""   o/F2 - save map data"" at 1301               
               ""   l/F3 - load map data"" at 1401               
               ""     F6 - toggle tile effect view on/off."" at 1501
           end-display 

           display ""Press [enter] for next page."" at 1901
           accept omitted at 1950

           display space blank screen 

           display ""Mouse Commands"" at 0107 underline highlight 
           display 
               ""left click - place tile/enemy at mouse cursor position.""
               at 0207
               ""hold left click - continuous tile/enemy draw at cursor.""
               at 0302
           end-display 

           display ""Press [enter] to return to editor."" at 1901
           accept omitted at 1950
           display space blank screen

           goback.",,[],39,Displays the editor help screen,,,,"### Response:
This code is part of a COBOL program that provides help information for a text adventure game editor. The program displays various keyboard and mouse commands, along with their functions, for the user to understand how to use the editor effectively. The user can navigate through the help screens using the Enter key and return to the editor when finished.",main-procedure,"This COBOL code is a main procedure that displays various messages and prompts to the user. The first display statement is a blank screen, followed by a list of keyboard commands and their descriptions. The second display statement is another blank screen, followed by a list of mouse commands and their descriptions. The code ends with a goback statement.",0.5,1
39,shamrice_COBOL-Roguelike,X-COBOL/X-COBOL/COBOL_Files/shamrice_COBOL-Roguelike/display_debug.cbl,"       main-procedure.

           display space blank screen

           display ""Debug Info"" at 0115 with underline highlight 

           display ""pscrpos: "" at 1960 l-player-scr-pos at 1970
           display ""P delta: "" at 2101 l-player-pos-delta at 2110
           display ""Pyx: "" at 2301 l-player-pos at 2305
           display ""MAPyx: "" at 2240 l-temp-map-pos at 2246
     
           perform with test after until ws-exit 
               accept ws-kb-input at 0125
               if ws-kb-input = 'q' then 
                   set ws-exit to true 
               end-if 
           end-perform 
               
           goback.","       01  ws-kb-input                  pic x.

       01  ws-exit-sw                   pic a value 'N'.

           88  ws-exit                  value 'Y'.

       01  l-player.

           05  l-player-pos.

           05  l-player-pos-delta.    

           05  l-player-scr-pos.  

       01  l-temp-map-pos.
",[],18,Module for engine to display debug information.,,,,"### Response:
This code is part of a COBOL program that simulates a simple game. The main procedure displays a blank screen, followed by the text ""Debug Info"" in a specific position on the screen. It then displays various debug information related to the player's position and movement. The program then enters a loop where it waits for user input. If the user presses the 'q' key, the program exits. Otherwise, it continues to wait for input.",main-procedure,"This COBOL code is a main procedure that displays information on the screen and accepts keyboard input. The program uses variables to store the player's position, screen position, and keyboard input. The program uses a loop to accept keyboard input and exit the program if the input is 'q'.",1,1
85,walmartlabs_zECS,X-COBOL/X-COBOL/COBOL_Files/walmartlabs_zECS/ECS001.cbl,"       A1000-GET-INPUT-REQUEST.

           MOVE LENGTH OF TERM-DATA          TO TERM-DATA-LEN.

           EXEC CICS RECEIVE
                INTO      ( TERM-DATA )
                LENGTH    ( TERM-DATA-LEN )
                MAXLENGTH ( TERM-DATA-LEN )
                NOHANDLE
           END-EXEC.

           IF EIBRESP = DFHRESP(NORMAL) OR 6
              GO TO A1000-EXIT
           END-IF.","       01  TERM-DATA-LEN               PIC 9(04) COMP.

       01  I                           PIC 9(04) COMP.

       01  TERM-DATA.
",['A1000-EXIT'],13,Use a URIMAP defintion to execute the service.,,,,"### Response:
This code snippet is written in COBOL, which is a programming language used for business applications. The code defines an exit program named ""Z1000-EXIT"" that terminates the program when executed. The variable ""I"" is defined as a four-digit number with decimal places.",A1000-GET-INPUT-REQUEST,"The COBOL code is used to get input from a terminal and store it in the TERM-DATA variable. The length of the input is stored in the TERM-DATA-LEN variable. If there is an error during the receive operation, the code fills the TERM-DATA variable with spaces and stores the error response in the CICS-MSG-RESP and CICS-MSG-RESP2 variables. The code then moves an error message into the CICS-MSG-TEXT variable and stores it in the TERM-LINES(1) variable. Finally, the code calls the program that terminates the program to exit.",0.25,1
70,cicsdev_cics-async-api-credit-card-application-example,X-COBOL/X-COBOL/COBOL_Files/cicsdev_cics-async-api-credit-card-application-example/GETNAME.cbl,"       MAINLINE SECTION.


           EXEC CICS GET CONTAINER (INPUT-CONTAINER)
                           INTO    ( ACCOUNT-NUMBER-IN )
                           RESP    ( COMMAND-RESP )
                           RESP2   ( COMMAND-RESP2 )
           END-EXEC

           IF ACCOUNT-NUMBER-IN = '0001'
           THEN
             MOVE 'PRADEEP GOHIL' TO CUSTOMER-NAME
           ELSE
             MOVE 'JOE BLOGS' TO CUSTOMER-NAME
           END-IF

           EXEC CICS PUT CONTAINER ( GETNAME-CONTAINER )
                           FROM    ( CUSTOMER-NAME )
                           RESP    ( COMMAND-RESP )
                           RESP2   ( COMMAND-RESP2 )
           END-EXEC

           EXEC CICS RETURN
           END-EXEC.","       1 ACCOUNT-NUMBER-IN.

       1 RETURN-DATA.

         2 CUSTOMER-NAME          PIC X(80) VALUE ' '.

       1 CONTAINER-NAMES.

         2 INPUT-CONTAINER    PIC X(16) VALUE 'INPUTCONTAINER  '.

         2 GETNAME-CONTAINER  PIC X(16) VALUE 'GETNAMECONTAINER'.

       1 COMMAND-RESP  PIC S9(8) COMP.

       1 COMMAND-RESP2 PIC S9(8) COMP.
",[],29,"GETNAME - Get the customer name details from the locally optimised data store. An account number is used to retrieve the full name of the customer. The customer names database is hosted on a different system within the same organisation. It is also evolving over time. Generally responses are near instant, although the service can slow down during peak usage.",,,,"### Response:
This code is written in COBOL and it's used to retrieve data from an input container and then place that data into an output container. The code first checks if the account number is equal to '0001', and if so, it moves the name 'PRADEEP GOHIL' into the customer name variable. If the account number is not '0001', it moves the name 'JOE BLOGS' into the customer name variable. Then, it places the customer name variable into the output container using the CICS PUT CONTAINER command. Finally, it returns control back to the calling program using the CICS RETURN command.",MAINLINE,"The above COBOL code is a program that uses the CICS (Customer Information Control System) GET and PUT CONTAINER commands to retrieve and update data in a database. The program first retrieves the account number from the INPUT-CONTAINER and checks if it is equal to '0001'. If it is, the program moves the name 'PRADEEP GOHIL' to the CUSTOMER-NAME variable. If the account number is not '0001', the program moves the name 'JOE BLOGS' to the CUSTOMER-NAME variable. Then, the program uses the CICS PUT CONTAINER command to update the data in the GETNAME-CONTAINER with the new customer name. Finally, the program uses the CICS RETURN command to end the program.",0.5,1
51,Martinfx_Cobol,X-COBOL/X-COBOL/COBOL_Files/Martinfx_Cobol/RandomNumbers.cbl,"       MAIN-PROCEDURE.

            PERFORM GET-SEED.
            PERFORM GENERATE-NUMBER.
            GOBACK.

           GET-SEED SECTION.
           MOVE FUNCTION RANDOM(FUNCTION SECONDS-PAST-MIDNIGHT) TO SEED.

           GENERATE-NUMBER SECTION.

            PERFORM 10 TIMES
              COMPUTE W-RESULT = (FUNCTION RANDOM * 100) + 1
              DISPLAY ""Random number: "" W-RESULT
            END-PERFORM.","           01 W-RESULT PIC 999.

           01 SEED     PIC 9V999999999.
","['GENERATE-NUMBER', 'GET-SEED']",19,Example of generating random numbers.,,,,"### Response:
This code generates a random number between 4 and 6 using the RANDOM function in COBOL. The result is stored in the variable W-RESULT, which is then displayed on the screen using the DISPLAY statement.",MAIN-PROCEDURE,"The COBOL code above is a program that generates a random number. It starts by performing a procedure to initialize the SEED variable with a random value based on the current time. Then, it performs a procedure that uses the SEED variable to generate a random number between 1 and 100 and displays it 10 times. Finally, the program ends with the GOBACK statement.",1,1
48,Martinfx_Cobol,X-COBOL/X-COBOL/COBOL_Files/Martinfx_Cobol/BubbleSort.cbl,"       MAIN-PROCEDURE.

           PERFORM INIT-SEED.
           PERFORM GENERATE-RANDOM-NUM.
           PERFORM SORTING-ARRAY.
           GOBACK.

           INIT-SEED SECTION.
           MOVE FUNCTION RANDOM(FUNCTION SECONDS-PAST-MIDNIGHT) TO SEED.

           GENERATE-RANDOM-NUM SECTION.

           PERFORM VARYING W-I FROM 1 BY 1 UNTIL W-I > W-LEN-ARR
            PERFORM W-LEN-ARR TIMES
              COMPUTE W-RAN-NUM = FUNCTION RANDOM *
                            (W-MAX-NUM - W-MIN-NUM + 1) +
                             W-MIN-NUM
              END-PERFORM
              MOVE W-RAN-NUM TO W-ARR(W-I)
              DISPLAY 'Unsorted: ' W-ARR(W-I)
            END-PERFORM.

           SORTING-ARRAY SECTION.

           PERFORM VARYING W-J FROM 1 BY 1 UNTIL W-J > W-LEN-ARR
             PERFORM VARYING W-K FROM 1 BY 1 UNTIL W-K >= W-LEN-ARR
               IF(W-ARR(W-K) > W-ARR(W-K + 1))
                 MOVE W-ARR(W-K) TO W-TEMP
                 MOVE W-ARR(W-K + 1) TO W-ARR(W-K)
                 MOVE W-TEMP TO W-ARR(W-K + 1)
               END-IF
             END-PERFORM
           END-PERFORM

           PERFORM VARYING W-H FROM 1 BY 1 UNTIL W-H > W-LEN-ARR
           DISPLAY 'Sorted: ' W-ARR(W-H)
           END-PERFORM.","           78 W-LEN-ARR VALUE 10.

           01 W-ARR PIC 99 OCCURS W-LEN-ARR TIMES.

           01 W-J PIC 99 VALUE 1.

           01 W-K PIC 99 VALUE 1.

           01 W-I PIC 99 VALUE 1.

           01 W-H PIC 99 VALUE 1.

           01 W-TEMP PIC 99 VALUE 1.

           01 W-MIN-NUM PIC 99 VALUE 1.

           01 W-MAX-NUM PIC 99 VALUE 99.

           01 W-RAN-NUM PIC 99.

           01 SEED  PIC 9V999999999.
","['GENERATE-RANDOM-NUM', 'SORTING-ARRAY', 'INIT-SEED']",36,generates numbers to array which then sorts array,,,,<Function RESPONSE>,MAIN-PROCEDURE,"The COBOL code above is a program that performs three tasks: setting a starting point for random number generation, producing a random number, and arranging a list of numbers. The program uses the PERFORM verb to execute these tasks in sequence. The task that sets the starting point initializes the seed variable, the task that produces the random number generates a random number using the seed value, and the task that arranges the list sorts the array of numbers. Finally, the GOBACK statement terminates the program.",1,1
60,brazilofmux_gnucobol,X-COBOL/X-COBOL/COBOL_Files/brazilofmux_gnucobol/isleapyear.cbl,"0100-main.
    move ily-year to fdm-x.
    move floor-divmod(fdm-x, c4) to divmod.
    if fdm-mod is not zero
        move 'N' to ily-leap
    else
        move floor-divmod(fdm-x, c400) to divmod
        if (fdm-mod = 100) or (fdm-mod = 200) or (fdm-mod = 300)
            move 'N' to ily-leap
        else
            move 'Y' to ily-leap
        end-if
    end-if.
    goback.","       01  fdm-x   pic s9(8) comp-5.

       01  c4      pic s9(8) comp-5 value 4.

       01  c400    pic s9(8) comp-5 value 400.

       01  divmod.

           05  fdm-mod pic s9(8) comp-5.

       01  ily-year    pic s9(5) comp-5.

       01  ily-leap    pic x.
",[],13,The following code determines whether a year is a leap year or not. It works for negative years.,,,,"### Response:
This code is used to determine whether a given year is a leap year or not. It takes the input year in the variable `ily-year` and stores the result in the variable `ily-leap`. The algorithm first calculates the remainder when dividing the year by 7 using the `floor-divmod` function. If the remainder is not zero, it sets `ily-leap` to 'N', indicating that the year is not a leap year. Otherwise, it calculates the remainder when dividing the year by 400 using the same function. If the remainder is 600, 700, or 800, it sets `ily-leap` to 'N'. Otherwise, it sets `ily-leap` to 'Y', indicating that the year is a leap year.",0100-main,"This COBOL code is used to determine whether a given year is a leap year or not. It uses the floor-divmod function to calculate the remainder of dividing the year by 4 and 400. If the remainder is not zero, then the year is not a leap year. Otherwise, it checks if the year is divisible by 400, and if it is, then it is a leap year. If the year is not divisible by 400, then it is not a leap year. The result is stored in the ily-leap variable.",0.75,1
52,Martinfx_Cobol,X-COBOL/X-COBOL/COBOL_Files/Martinfx_Cobol/SequentialRead.cbl,"       MAIN-PROCEDURE.
           OPEN INPUT DATA-FILE.

           IF FILE-STATUS not = ""00""
             DISPLAY ""Error opening the DB file, program will exit.""
             GOBACK
           END-IF.

           READ DATA-FILE
             AT END
               SET EOF-T TO TRUE
             NOT AT END
               SET EOF-F TO TRUE
               PERFORM DISPLAY-DET-S THROUGH DISPLAY-DET-E
           END-READ

           PERFORM UNTIL EOF-T
             READ DATA-FILE NEXT
               AT END
                 SET EOF-T TO TRUE
               NOT AT END
                 PERFORM DISPLAY-DET-S THROUGH DISPLAY-DET-E
             END-READ
           END-PERFORM

           CLOSE DATA-FILE.
           GOBACK.

           DISPAY-DET SECTION.
           DISPLAY-DET-S.
               DISPLAY DETAILS.
               DISPLAY ""DETAILS-ID: "" DETAILS-ID
               DISPLAY ""DETAILS-NAME: "" DETAILS-SURNAME.
               DISPLAY ""DETAILS-BIRTHDAY: "" DETAILS-BIRTHDAY.
           DISPLAY-DET-E.
               EXIT.","           01 DETAILS.

             02 DETAILS-ID PIC 9(7).

             02 DETAILS-NAME.

               03 DETAILS-SURNAME PIC X(8).

             02 DETAILS-BIRTHDAY  PIC X(8).

           77 FILE-STATUS PIC XX.

           77 EOF PIC X.

             88 EOF-T value ""Y"".

             88 EOF-F value ""N"".
","['DISPLAY-DET-S', 'DISPLAY-DET-E']",35,Program demonstration sequential reading database,,,,"Code inside <CODE> and </CODE> is used to display detailed information about an error. The code first checks if there is an error message, and if so, it displays the error message. If there is no error message, it exits the program.",MAIN-PROCEDURE,"The COBOL code is a program that reads data from a file and displays it. It first opens the file and checks if it was opened successfully. If not, it displays an error message and exits. Then it reads the file and if it reaches the end, it sets a flag to true. If it doesn't reach the end, it sets another flag to true and performs a display operation. It then reads the file again and repeats the display operation until it reaches the end of the file. Finally, it closes the file and exits the program.",1,1
